original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
0870894-3,30887199,Olvi Areena / Kuopion jäähalli,Hanneskolehmaisenkatu 4,70110,KUOPIO,Kuopio,KalPa Hockey Oy,01.05.2025,30.04.2026,62.894976,27.665698,"Hannes Kolehmaisen katu 4, 70110 Kuopio, Suomi",,4,Hannes Kolehmaisen katu,70110,Hatsala,Pohjois-Savo,Kuopio,Kuopio,Itä-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3353121-1,30889010,Star Pizza,Kartanontie 14,4410,JÄRVENPÄÄ,Järvenpää,Tarkkaraksa Oy,07.11.2025,,60.47430165,25.0972187,"Kartanontie 14, 04410 Järvenpää, Suomi",,14,Kartanontie,04410,Pöytäalho,,,Järvenpää,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2862693-7,1067508,Hotel U14 /  Ravintola Version,Unioninkatu 14,130,HELSINKI,Helsinki,Hotel U14 Oy,02.03.2020,,60.165,24.9510478,"Unioninkatu 14, 00130 Helsinki, Suomi",,14,Unioninkatu,00130,Kaartinkaupunki,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1465088-0,1034578,Koskelon  Matkailukeskus,Ysitie 3399,77600,SUONENJOKI,Suonenjoki,Koskelon Matkailukeskus Oy,01.03.2018,,62.5864512,27.0519644,"SEO Koskelo, Ysitie 3399, 77600 Suonenjoki, Suomi",SEO Koskelo,3399,Ysitie,77600,,,,Suonenjoki,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0865259-9,1172349,m/s Otto Cafe,Harustie 2,980,HELSINKI,Helsinki,LR-pubs Ky,23.06.2005,,60.203365,25.1263574,"Harustie 2, 00980 Helsinki, Suomi",,2,Harustie,00980,Vuosaari,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3103665-5,1075222,Old Pine Husky Lodge,Honkamaantie 32,94500,LAUTIOSAARI,Keminmaa,Old Pine Oy,28.07.2022,,65.7972386,24.5710997,"94500 Keminmaa, Suomi",,,,94500,Lautiosaari,,,Keminmaa,Lappi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2028421-5,1062848,Tiurajärven Kota,Äkäslompolontie 1341,99300,MUONIO,Muonio,True North Oy,24.11.2018,,67.7436374,24.0818082,"Äkäslompolontie 1341, 99300 Muonio, Suomi",Äkäslompolontie,1341,Äkäslompolontie,99300,,,,Muonio,Lappi,Suomi,fi,0.675,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0190563-7,30884907,Suvannon pesäpallokenttä,Koskipuhdontie 28,84460,YLIVIESKA,Ylivieska,V & U-seura Ylivieskan Kuula r.y.,07.06.2024,,64.0768404,24.5493462,"Koskipuhdontie 28, 84100 Ylivieska, Suomi",Koskipuhdontie,28,Koskipuhdontie,84100,Hakalahti,,,Ylivieska,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3297579-3,30882961,Ahvenisto Race Circuit oy,Poltinahontie 47,13130,HÄMEENLINNA,Hämeenlinna,Ahvenisto Race Circuit Oy,01.01.2024,,61.00200635,24.418920719734906,"Ahveniston moottorirata, Poltinahontie 47, 13130 Hämeenlinna, Suomi",Ahveniston moottorirata,47,Poltinahontie,13130,Pullerinmäki,,Hämeenlinna,Hämeenlinna,Kanta-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1834868-9,1039659,Plaza-Ravintolat,Vilhonkatu 8,24100,SALO,Salo,Suur-Seudun Osuuskauppa SSO,01.01.2004,,60.3864956,23.1229725,"Kenkä Plaza, Vilhonkatu 8, 24100 Salo, Suomi",Kenkä Plaza,8,Vilhonkatu,24100,Kauniainen,,,Salo,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
