original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
3330376-1,30882350,El Hose,Simppoonkatu 1,33230,TAMPERE,Tampere,Greenfest Oy,03.07.2023,,61.503448170616664,23.725986201603934,"Simppoonkatu 1, 33230 Tampere, Suomi",Simppoonkatu,1,Simppoonkatu,33230,Särkänniemi,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2439278-2,1040263,"1H+Keittiö, Ett rum och kök",Hovrättsesplanaden 13 A,65100,VAASA,Vaasa,Oy Fremast Ab,15.12.2011,,63.09631,21.61321,"Hovrättsesplanaden 13, 65100 Vaasa, Suomi",,13,Hovrättsesplanaden,65100,,Pohjanmaa,Vaasa,Vaasa,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3582954-8,30889472,Ravintola Selen,Kirkkotie 6 LH 2,27100,EURAJOKI,Eurajoki,Pizzeria-ravintola Selen Oy,30.01.2026,,61.2021149,21.7297908,"Eurajoen Säästöpankki, Pääkonttori, Kirkkotie 6, 27100 Eurajoki, Suomi","Eurajoen Säästöpankki, Pääkonttori",6,Kirkkotie,27100,,,Eurajoki,Eurajoki,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3251591-4,30889368,Lounaskahvila Omeletti,Suomalaistentie 2,2270,ESPOO,Espoo,Vanhan Liiton Omeletti Oy,14.01.2026,,60.162429,24.7013625,"Lounaskahvila Omeletti, Suomalaistentie 2, 02270 Espoo, Suomi",Lounaskahvila Omeletti,2,Suomalaistentie,02270,Nöykkiö,,Suur-Espoonlahti,Espoo,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2097784-7,1045311,Vianor Curlingcenter,Käringsundsvägen 85,22270,ECKERÖ,Eckerö,Ålands Curling AB,01.11.2021,,60.2296704,19.55099285,"Vianor curlingcenter, Käringsundsvägen 85, 22270 Eckerö, Suomi",Vianor curlingcenter,85,Käringsundsvägen,22270,,Ahvenanmaa,,Eckerö,Ahvenanmaan maakunta,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2012102-9,1046664,Ravintola Purebite,Hantanpään valtatie 4,33100,TAMPERE,Tampere,Purebite Oy,07.04.2014,,61.496873,23.767485,"Hatanpään Valtatie 4, 33100 Tampere, Suomi",,4,Hatanpään Valtatie,33100,Kyttälä,Pirkanmaa,Tampere,Tampere,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
1802985-6,1065256,@EVA,Kauppiaskatu 4,21600,PARAINEN,Parainen,Matmalmen Ab Oy,01.07.2019,,60.2989226,22.3009076,"Matmalmen @Eva, Kauppiaskatu 4, 21600 Parainen, Suomi",Matmalmen @Eva,4,Kauppiaskatu,21600,Keskusta,,Parainen,Parainen,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3349525-7,30885261,Kyläbaari,Eriksnäsintie 11,1150,SÖDERKULLA,Sipoo,Armandos Oy,04.07.2024,,60.2960273,25.3239603,"KYLÄ BAARI, Eriksnäsintie 11, 01150 Sipoo, Suomi",KYLÄ BAARI,11,Eriksnäsintie,01150,Söderkulla,,Kalliomäki,Sipoo,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3234570-8,1072447,Liekorannan Kievari,Asemakatu 34,38210,SASTAMALA,Sastamala,Kievarin Herkku Oy,25.10.2021,,61.3482366,22.8883751,"Asemakatu 34, 38210 Vammala, Suomi",Asemakatu,34,Asemakatu,38210,Raivio,,,Vammala,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2031380-5,1022590,Haapaniemen Matkailu Oy,Haapaniementie 165,74150,IISALMI,Iisalmi,Haapaniemen Matkailu Oy,21.04.2006,,63.556496,27.019704,"Haapaniementie 165, 74150 Iisalmi, Suomi",,165,Haapaniementie,74150,,Pohjois-Savo,,Iisalmi,Itä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
0822757-6,1055565,Kantakrouvi,Uusikatu 23,90100,OULU,Oulu,Service Restaurants Oy Oulu,16.04.1998,,65.0116868,25.4765032,"Kantakrouvi, Uusikatu 23, 90100 Oulu, Suomi",Kantakrouvi,23,Uusikatu,90100,II Vaara,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2231152-0,1056627,Pizzeria Sirena,Livornonkatu 8,220,HELSINKI,Helsinki,FLORI,01.03.2018,,60.157565,24.9160321,"Livornonkatu 8, 00220 Helsinki, Suomi",,8,Livornonkatu,00220,Jätkäsaari,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0212329-0,1069280,Original Sokos Hotel Presidentti,Eteläinen Rautatiekatu 4,100,HELSINKI,Helsinki,Sokotel Oy,01.01.2005,,60.1705978,24.9326073,"Original Sokos Hotel Presidentti, Eteläinen Rautatiekatu 4, 00100 Helsinki, Suomi",Original Sokos Hotel Presidentti,4,Eteläinen Rautatiekatu,00100,Kamppi,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1801682-8,1066291,Lunchrestaurang Tallen,Mannerheimvägen 97,280,HELSINKI,Helsinki,Folkhälsan Välfärd Ab,01.09.2019,,60.198003,24.902477,"Mannerheimvägen 97, 00280 Helsinki, Suomi",,97,Mannerheimvägen,00280,Vanha Ruskeasuo,Uusimaa,Lantinen,Helsinki,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2109303-1,1044365,Camping Tornio,Matkailijantie 9,95420,TORNIO,Tornio,LeiKon Lahti Oy,01.03.2018,,65.8342851,24.1984882,"Matkailijantie 9, 95420 Tornio, Suomi",Matkailijantie,9,Matkailijantie,95420,Kalliopudas,Lappi,Tornio,Tornio,Lappi,Suomi,fi,0.9,1,1,1,,,
2191625-3,1028691,Cafe' Fontana,Aurakatu 1,20100,TURKU,Turku,Restacafe Trading Oy,16.06.2008,,60.4495351,22.268793459934678,"Verdandin talo, Aurakatu 1, 20100 Turku, Suomi",Verdandin talo,1,Aurakatu,20100,Keskusta,,Aninkaistenmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2534055-4,1047855,Ulappasilta Pub,Tyynylaavankuja 3 D,980,HELSINKI,Helsinki,PASILAN CAFÉ OY,01.07.2014,,60.2078981,25.1393451,"Tyynylaavankuja 3, 00980 Helsinki, Suomi",,3,Tyynylaavankuja,00980,Vuosaari,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068186-6,1076970,Elämyspuisto GoPark,Kangassaarentie 14,37800,AKAA,Akaa,Viasetti Oy,01.05.2023,,61.1919068,23.9027193,"Kangassaarentie 14, 37800 Toijala, Suomi",Kangassaarentie,14,Kangassaarentie,37800,,,,Toijala,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2990696-5,30064859,Rantamakasiini,Paltteentie 13,21160,MERIMASKU,Naantali,Rantamakasiini Oy,24.05.2019,,60.4832636,21.8702448,"Paltteentie 13, 21160 Naantali, Suomi",,13,Paltteentie,21160,Merimaskun kirkonkylä,,,Naantali,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1874376-9,1070058,Pub Stallhagen,Getavägen 196,22410,GODBY,Finström,Stallhagen Ab,21.12.2020,,60.24033955,19.96332425337492,"Getavägen 196, 22410 Godby, Suomi",,196,Getavägen,22410,,Ahvenanmaa,,Godby,Ahvenanmaan maakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1837957-3,1009347,Sailor's,Laivalahdenkaari 29,810,HELSINKI,Helsinki,HOK-Elanto Liiketoiminta Oy,01.01.2004,,60.1870319,25.030998,"Laivalahdenkaari 29, 00810 Helsinki, Suomi",,29,Laivalahdenkaari,00810,Herttoniemi,Uusimaa,Kaakkoinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0144879-8,30885523,M/S Skiftet Café,Långnäsvägen,22630,LUMPARLAND,Lumparland,Ålands Skärgårdsrederi Ab,01.08.2024,,60.09882358126707,20.26486242323623,"Långnäsvägen, 22630 Krogstad, Suomi",Långnäsvägen,,Långnäsvägen,22630,,Ahvenanmaa,,Krogstad,Ahvenanmaan maakunta,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3238760-9,30888985,The Grand / Goldfish Cocktailbar,"Korkeavuorenkatu 21 ",130,HELSINKI,Helsinki,SW-Restaurants Oy,04.11.2025,03.11.2026,60.162756,24.9464,"Korkeavuorenkatu 21, 00130 Helsinki, Suomi",,21,Korkeavuorenkatu,00130,Ullanlinna,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2818335-5,30885951,Ravintola Patarouva,Pispalan valtatie 120,33270,TAMPERE,Tampere,Calos Oy,17.10.2024,,61.50835705,23.669986719290243,"Pispalan valtatie 120, 33270 Tampere, Suomi",,120,Pispalan valtatie,33270,Epilä,,Läntinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3015167-8,30881374,Kirsikkapuisto,Veteraanitie 2,4600,MÄNTSÄLÄ,Mäntsälä,Mäntsälän Autolasi Oy,25.05.2023,,60.5948803,22.9142833,"Mäntsälä (Marttila), Varsinais-Suomi, Suomi",,,,,,,,Marttila,Varsinais-Suomi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2206698-3,1038463,Cafe Hellman,Friitalantie 11,28400,ULVILA,Ulvila,Porin Pitokokit Oy,15.06.2011,,61.430241800000005,21.86958822637747,"Friitala-talo, Friitalantie 11, 28400 Ulvila, Suomi",Friitala-talo,11,Friitalantie,28400,Friitala,,,Ulvila,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0535917-8,1050792,Kosmos,Kalevankatu 3,100,HELSINKI,Helsinki,Ravintola Kosmos Oy,01.01.1960,,60.1680264,24.9397352,"Ravintola Kosmos, Kalevankatu 3, 00100 Helsinki, Suomi",Ravintola Kosmos,3,Kalevankatu,00100,Kamppi,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3571704-4,30889269,Gyoza King Kluuvi,Aleksanterinkatu 9,100,HELSINKI,Helsinki,Gyoza Story Oy,15.12.2025,,60.1693226,24.947714,"Aleksanterinkatu 9, 00130 Helsinki, Suomi",,9,Aleksanterinkatu,00130,Keskusta,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2296535-6,1056323,Ravintola Reeti,Rantatie 2,19950,LUHANKA,Luhanka,Luhangan Kyläkauppa Oy,01.05.2017,,61.7964129,25.7039838,"SEO Luhanka, Luhangan Kyläkauppa, Rantatie 2, 19950 Luhanka, Suomi","SEO Luhanka, Luhangan Kyläkauppa",2,Rantatie,19950,,,Hepoluhta,Luhanka,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2917098-6,30888868,Hua Du Ruoholahti,Itämerentori 2,180,HELSINKI,Helsinki,Can Ning Oy,01.11.2025,,60.1640241,24.9138467,"Itämerentori 2, 00180 Helsinki, Suomi",,2,Itämerentori,00180,Ruoholahti,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0961890-7,1063713,Svenska Klubben,Maurinkatu 6,170,HELSINKI,Helsinki,Oy Theron Catering Ab,01.02.2019,,60.174081,24.9595675,"Svenska Klubben, Maurinkatu 6, 00170 Helsinki, Suomi",Svenska Klubben,6,Maurinkatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3008326-5,1068641,Taitotalon Kongressikeskus,Valimotie 8 C,380,HELSINKI,Helsinki,AEL-Amiedu Oy,01.07.2020,,60.2178471,24.8777764,"Valimotie 8, 00380 Helsinki, Suomi",,8,Valimotie,00380,Pitäjänmäki,,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3442185-8,30884716,upahaar Nepalilainen Ravintola,Laurinkatu 51 b,8100,LOHJA,Lohja,TASTE OF NEPAL OY,01.06.2024,,60.2498344,24.0639614,"Laurinkatu 51, 08100 Lohja, Suomi",Laurinkatu,51,Laurinkatu,08100,Ahtsalmi,,Lohja,Lohja,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3501730-4,30886711,GolfStar Range Leppävaara,Säterinpuistotie 1,2600,ESPOO,Espoo,Golf Range Operator Finland Oy,01.03.2025,,60.2049651,24.6559808,"Espoo (Espoo), Uusimaa, Suomi",,,,2600,,Uusimaa,Espoo,Espoo,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3164833-6,1070365,Bowling Corner & Billiard,Ojakkalantie 2,1900,NURMIJÄRVI,Nurmijärvi,Bowling Corner Oy,26.03.2021,,60.458465,24.8199556,"Bowling Corner & Billiard, Ojakkalantie 2, 01900 Nurmijärvi, Suomi",Bowling Corner & Billiard,2,Ojakkalantie,01900,Maaniittu,,,Nurmijärvi,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1003239-9,1009595,ET-PO:N TUPA,Ainiovaara,95600,YLITORNIO,Ylitornio,Etelä-Portimo -72 ry,01.03.2018,,66.3163918,23.719217,"Ainiovaara, 95600 Ylitornio, Suomi",Ainiovaara,,,95600,,Lappi,,Ylitornio,Lappi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2912024-1,1061871,Rabbit Hole,Ragnar Granitin aukio,11100,RIIHIMÄKI,Riihimäki,Chill Ravintolat Oy,12.07.2018,,60.7386741,24.77475828318385,"Ragnar Granitin aukio, 11110 Riihimäki, Suomi",Ragnar Granitin aukio,,Ragnar Granitin aukio,11110,Suokylä,,,Riihimäki,Kanta-Häme,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3395640-4,30884777,"Lovisa Kafferosteri ",Aleksanterinkatu 8,7900,LOVIISA,Loviisa,Ab Kaffe och konsultering Oy,30.05.2024,,60.4572275,26.2237408,"Lovisa Kafferosteri, Aleksanterinkatu 8, 07900 Loviisa, Suomi",Lovisa Kafferosteri,8,Aleksanterinkatu,07900,Rauhala,,,Loviisa,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3109805-5,1076391,Restaurang Ädelbragd,Slagfältsvägen 130,66800,ORAVAINEN,Vöyri,Mat med Historia Ab,13.01.2023,,63.286258,22.379175,"Slagfältsvägen 130, 66800 Vöyri, Suomi",,130,Slagfältsvägen,66800,,Pohjanmaa,,Vöyri,Länsi ja Sisä-Suomi,Suomi,fi,0.855,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2423215-6,1049629,Metsästys ja Karting Paratiisi Oy,Tuomikatu 23,53850,LAPPEENRANTA,Lappeenranta,Metsästys ja Karting Paratiisi Oy,01.03.2018,,61.040026600000004,28.113398547511807,"Sako Shooting Center, Tuomikatu 23, 53810 Lappeenranta, Suomi",Sako Shooting Center,23,Tuomikatu,53810,Kuusimäki,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0282524-1,1069922,Ravintola Metsämäki,Vanha Tampereentie 235,20380,TURKU,Turku,Turun Hippos ry,01.01.1998,,60.493652749999995,22.349357200288388,"Metsämäen ravirata, Vanha Tampereentie 235, 20380 Turku, Suomi",Metsämäen ravirata,235,Vanha Tampereentie,20380,Tasto,,Maaria-Paattinen,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3365301-6,30882198,Lagos Sport Bar,Humikkalanrinne 1,940,HELSINKI,Helsinki,Lagos Sport Bar Oy,21.06.2023,,60.235359,25.1002375,"Humikkalanrinne 1, 01280 Helsinki, Suomi",,1,Humikkalanrinne,01280,Mellunkylä,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2323133-8,30884986,Kujalan Outdoor / Kotaravintola,"Tukkitie ",90480,HAILUOTO,Hailuoto,Kujalan Herkku Oy,17.06.2024,,65.0041490408813,24.639614722990576,"Tukkitie, 90480 Hailuoto, Suomi",Tukkitie,,Tukkitie,90480,,Pohjois-Pohjanmaa,,Hailuoto,Pohjois-Pohjanmaa,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3380455-8,30885042,Thai Noodle,Pursimiehenkatu 12,150,HELSINKI,Helsinki,SoongNakhorn Oy,17.06.2024,,60.1595465,24.9387907,"Pursimiehenkatu 12, 00150 Helsinki, Suomi",,12,Pursimiehenkatu,00150,Punavuori,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0783651-3,1037531,m/s Doris II,Kauppatori,170,HELSINKI,Helsinki,IHA-Lines Oy Helsinki Cruises,01.05.2011,,60.1671972,24.953264977,"Kauppatori, 00170 Helsinki, Suomi",Kauppatori,,Kauppatori,00170,Kaartinkaupunki,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0162170-6,1069378,Kehruuhuone,Kristiinankatu 20,53900,LAPPEENRANTA,Lappeenranta,Etelä-Karjalan Osuuskauppa,01.09.2020,,61.0670395,28.182498355019906,"Kehruuhuone, Kristiinankatu 20, 53900 Lappeenranta, Suomi",Kehruuhuone,20,Kristiinankatu,53900,Rapasaari,,,Lappeenranta,Etelä-Karjala,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2827929-3,1063130,Japanilainen Ravintola Juku,Hovioikeudenpuistikko 16,65100,VAASA,Vaasa,Ravintola Juku Oy,20.11.2018,,63.0966399,21.61812,"Omena-hotelli Vaasa, Hovioikeudenpuistikko 16, 65100 Vaasa, Suomi",Omena-hotelli Vaasa,16,Hovioikeudenpuistikko,65100,Keskusta 4,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2032977-8,1040718,Suzan Pizzeria,Rautkallionkatu 3,1360,VANTAA,Vantaa,Suayip Pizza Kebab T:mi,01.03.2018,,60.3229715,25.0646422,"Suzan Pizzeria, Rautkallionkatu 3, 01360 Vantaa, Suomi",Suzan Pizzeria,3,Rautkallionkatu,01360,Havukoski,,Koivukylän suuralue,Vantaa,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0839754-0,30883643,Ravintola Reppumies,Sorakuja 2,71800,SIILINJÄRVI,Siilinjärvi,Siilin Autovaruste Oy,01.02.2024,,63.0719216,27.6617453,"Intersport, Sorakuja 2, 71800 Siilinjärvi, Suomi",Intersport,2,Sorakuja,71800,Siilinpää,,Asemanseutu,Siilinjärvi,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3232475-5,1072968,Pepper Bar & Restaurant - Nokia,Välikatu 18,37100,NOKIA,Nokia,Pepper Ravintolat Oy,01.01.2022,,61.4783785,23.5106339,"Nokian 1. apteekki, Välikatu 18, 37100 Nokia, Suomi",Nokian 1. apteekki,18,Välikatu,37100,Lauttala,,Keskustaajama,Nokia,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3278768-8,1075640,Villa Severino,Tatti 17,760,HELSINKI,Helsinki,Villa Severino Selema Oy,01.11.2022,,60.275063,25.0789657,"Tatti 17, 01380 Helsinki, Suomi",,17,Tatti,01380,Heikinlaakso,,Koillinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3423947-4,30884016,Kalla,Satama-alue 1,70100,KUOPIO,Kuopio,Kalla Lounge Oy,22.04.2024,,62.8913783039886,27.684902863817662,"70100 Kuopio, Suomi",,,,70100,,,,Kuopio,Pohjois-Savo,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2837337-8,30057587,Surf Shack,Linnankatu 42,20100,TURKU,Turku,The Surf Shack AB,04.06.2018,,60.4440482,22.2521746,"Surf Shack Bar, Linnankatu 42, 20100 Turku, Suomi",Surf Shack Bar,42,Linnankatu,20100,Keskusta,,Kakolanmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1869570-1,30884332,Hausjärven Niklandia,Honkarannantie 92,12100,OITTI,Hausjärvi,Hausjärven Niklandia Oy,06.05.2024,,60.7883423,24.977473120165207,"Honkarannantie 92, 12100 Oitti, Suomi",,92,Honkarannantie,12100,,,,Oitti,Kanta-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3459473-2,30887856,Kotka City Marina Oy,Tornatorintie 51,48100,KOTKA,Kotka,Kotka City Marina Oy,03.06.2025,02.06.2026,60.4676424,26.9362777,"Tornatorintie 51, 48100 Kotka, Suomi",Tornatorintie,51,Tornatorintie,48100,Kotkansaari 1,,,Kotka,Kymenlaakso,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2323085-3,1066994,Kotipizza Ideapark Lempäälä,Ideaparkinkatu 4,37570,LEMPÄÄLÄ,Lempäälä,Elonpaakari Oy,01.12.2019,,61.363441249999994,23.79540415392118,"Vesimaailma Louhi, Ideaparkinkatu 4, 37570 Lempäälä, Suomi",Vesimaailma Louhi,4,Ideaparkinkatu,37570,Marjamäki,,,Lempäälä,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1006404-0,1273765,The Doo-Bop Club,Kauppapuistikko 12,65100,VAASA,Vaasa,The Doo-Bop Club rf,01.03.2018,,63.0965912,21.6147909,"The Doo-Bop Club, Kauppapuistikko 12, 65100 Vaasa, Suomi",The Doo-Bop Club,12,Kauppapuistikko,65100,Keskusta 3,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2224002-1,1074372,Choco Deli ja Ravintola Massimo,Koskikatu 25,96200,ROVANIEMI,Rovaniemi,Choco Deli Oy,01.06.2022,,66.5028901,25.725270093212337,"Kauppakeskus Rinteenkulma, Koskikatu 25, 96200 Rovaniemi, Suomi",Kauppakeskus Rinteenkulma,25,Koskikatu,96200,Keskusta,,,Rovaniemi,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2394277-0,1037930,Majatalo Morva,Morvantie 189,42140,JUOKSLAHTI,Jämsä,Maalaishotelli Morva Oy,01.06.2011,,61.9647517,25.2985902,"Majatalo Morva, Morvantie 189, 42140 Jämsä, Suomi",Majatalo Morva,189,Morvantie,42140,,,,Jämsä,Keski-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1867962-1,1080101,Kahvila-Ravintola Modetti,Keskustie 14,17500,PADASJOKI,Padasjoki,Karabi Oy,18.12.2003,,61.3512204,25.2777049,"Keskustie 14, 17500 Padasjoki, Suomi",Keskustie,14,Keskustie,17500,Savikko,,,Padasjoki,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3231585-9,1074488,IKH Areena,Pikikuja 16,61800,KAUHAJOKI,Kauhajoki,KB Events Oy,15.09.2022,,62.4246218,22.19673734810031,"IKH Areena, Pikikuja 16, 61800 Kauhajoki, Suomi",IKH Areena,16,Pikikuja,61800,Lellava,,,Kauhajoki,Etelä-Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2636347-5,1070096,Iikan Grilli,Ouluntie 9,89200,PUOLANKA,Puolanka,Puolangan Osteri Oy,01.02.2021,,64.8686264,27.6691832,"Ouluntie 9, 89201 Puolanka, Suomi",Ouluntie,9,Ouluntie,89201,,Kainuu,Puolanka,Puolanka,Pohjois-Suomi,Suomi,fi,0.9,1,1,1,,,
0915487-4,30069878,Arctic Golf Cafe,Golfkentäntie 43,96600,ROVANIEMI,Rovaniemi,Arctic Golf Oy,02.12.2020,,66.50261765,25.828386211996175,"Santa Claus Golf, Golfkentäntie 43, 96600 Rovaniemi, Suomi",Santa Claus Golf,43,Golfkentäntie,96600,,,,Rovaniemi,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2848753-5,1073242,Restaurant FRÖJ,Hovrättsesplanaden 19,65100,VAASA,Vaasa,FRÖJ Mat Ab,25.03.2022,,63.097094,21.617583,"Hovioikeudenpuistikko, Hovrättsesplanaden 19, 65100 Vaasa, Suomi",Hovioikeudenpuistikko,19,Hovrättsesplanaden,65100,Keskusta 4,Pohjanmaa,Vaasa,Vaasa,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
